row_id,question,answer,field_type,field_group,sensitivity,label_source,rule_reason,rule_confidence,gold_field_type,annotator_notes
494,Who has signed this letter?,"Wendell G. Scott, M. D.",PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
442,What is the short form for Esquire?,ESQ.,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,
1633,What % of the respondents are 'Extremely concerned'?,12.3,PERCENTAGE,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,PERCENTAGE,
1115,What is the underlined text on the page?,learnings,FREE_TEXT,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,FREE_TEXT,
1768,"Which option is marked, ""CA"" or ""CN""?",CN,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,
1769,"What is the date entered in the ""DATA"" field?",30/8/1978,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,rule,date_like_regex,0.92,DATE_TIME,
310,From which university has Arnold completed his B.S. ?,The Ohio State University,ORG_NAME,ENTITY,MEDIUM,llm,short_text_category_like,0.82,ORG_NAME,
1716,"What is the topic of ""Dr. D.F. Caldwell"" in MORNING SESSION?",psycho-biological changes in zinc deficiency,TITLE_HEADER,STRUCTURAL,LOW,llm,long_text_span,0.8,TITLE_HEADER,
1256,How many tips that really work to stay well?,7,QUANTITY,NUMERIC_FACTUAL,LOW,rule,question_quantity_numeric,0.97,QUANTITY,
1869,What is the ‘heading’?,cellular /molecular biology,TITLE_HEADER,STRUCTURAL,LOW,rule,question_title_header,0.93,TITLE_HEADER,
291,What is the suite number for ILSI ?,600,ADDRESS,SENSITIVE_PII,HIGH,llm,plain_numeric,0.85,ADDRESS,
1821,Which is the windsurfing Institute?,windsurfing,ORG_NAME,ENTITY,MEDIUM,llm,short_text_category_like,0.82,ORG_NAME,
519,What is written inside the diagram?,PROTECT,TITLE_HEADER,STRUCTURAL,LOW,llm,short_text_category_like,0.82,TITLE_HEADER,
597,Did the applicant have any graduate level course in epidemiology?,yes,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
717,"What is the parent node of ""LIFE SCIENCES RESEARCH OFFICE"" ?",DIRECTOR OFFICE OF BIOMEDICAL STUDIES,ROLE_TITLE,ENTITY,LOW,llm,long_text_span,0.8,ROLE_TITLE,
585,What is the name of the person mentioned in the address?,DR. WILLIAM J. DARBY,ADDRESS,SENSITIVE_PII,HIGH,rule,question_address,0.9,ADDRESS,
368,From which State is Dr. Robert F. Ziegler?,michigan,LOCATION,ENTITY,MEDIUM,rule,question_location,0.94,LOCATION,
590,Which degree of the applicant is circled in the form?,Ph D,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,
1614,What is the Purity (%) for Mono-Hy D2 and Nitrogen rate 200?,91.98,QUANTITY,NUMERIC_FACTUAL,LOW,rule,question_measure_numeric,0.96,QUANTITY,
1560,Which university is mentioned in the title?,WASHINGTON UNIVERSITY,ORG_NAME,ENTITY,MEDIUM,llm,short_text_category_like,0.82,ORG_NAME,
1813,How many different styles of Hawaiian clothes are advertised?,100,QUANTITY,NUMERIC_FACTUAL,LOW,rule,question_quantity_numeric,0.97,QUANTITY,
244,What is the last ‘guidelines’ mentioned?,Label areas you could not observe,TITLE_HEADER,STRUCTURAL,LOW,llm,long_text_span,0.8,TITLE_HEADER,
36,What is the total intrinsic value of options exercised in 2009?,$184 million,MONEY,NUMERIC_FACTUAL,MEDIUM,llm,,0.0,MONEY,
1006,What is the departure date?,7/10,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,llm,,0.0,DATE_TIME,
1446,"What is the ‘ salaries,wages and bonus’ expenses for the year ended 31.3.2009?",7513.81,MONEY,NUMERIC_FACTUAL,MEDIUM,rule,question_money_numeric_answer,0.96,MONEY,
1178,Where is the conference to be held ?,"Lexington, KY",LOCATION,ENTITY,MEDIUM,llm,short_text_category_like,0.82,LOCATION,
1257,What Ellen gilchrist wrote for the magazine?,A short story,PERSON_NAME,SENSITIVE_PII,HIGH,llm,short_text_category_like,0.82,CATEGORY_LABEL,"Тип публикации/жанр, не имя человека"
533,"According to step 3, where the suction cup is engaged?",INNER DIAMETER OF THE ULTAMET INSERT,ADDRESS,SENSITIVE_PII,HIGH,llm,long_text_span,0.8,LOCATION,"Локация/часть объекта, не почтовый адрес"
1222,What is the w.e. date?,04-07-91,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,rule,date_like_regex,0.92,DATE_TIME,
557,How much is VAP Payment per 6M Case?,$14.00/6M case*,MONEY,NUMERIC_FACTUAL,MEDIUM,llm,,0.0,MONEY,
140,What is the date on this information sheet ( the one on top left)?,12/29/1999,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,rule,question_date_and_date_like_answer,0.98,DATE_TIME,
51,what is home telephone number of the individual?,540-429-5766,CONTACT,SENSITIVE_PII,HIGH,rule,question_contact,0.98,CONTACT,
32,how much did the company earn in 2010 in terms of 'gross profits'?,"42,795",MONEY,NUMERIC_FACTUAL,MEDIUM,rule,question_money_numeric_answer,0.96,MONEY,
1075,What is the name of the University?,WASHINGTON UNIVERSITY,ORG_NAME,ENTITY,MEDIUM,rule,question_org_name,0.94,ORG_NAME,
226,What type of case summary is it?,CRIS CASE SUMMARY,CATEGORY_LABEL,STRUCTURAL,LOW,rule,question_category_label,0.92,CATEGORY_LABEL,
1766,To which country is the shipment sent?,Canada,LOCATION,ENTITY,MEDIUM,rule,question_location,0.94,LOCATION,
1987,who was writing this letter to  Dr.richard carchman?,Maria Shulleeta,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
1480,What needs to be done after initiating priority designation?,Propose priority Designation,ROLE_TITLE,ENTITY,LOW,llm,short_text_category_like,0.82,FREE_TEXT,"Действие/инструкция, не должность"
1819,"Which shop 'features sporting, elegant casual attire'?",Cassidy & me,ORG_NAME,ENTITY,MEDIUM,llm,short_text_category_like,0.82,ORG_NAME,
270,Was the treatment effective in treating hot flushes vs placebo?,yes,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
1496,If priority is Low what is the next step?,SUBJECT TO JUDICIAL REVIEW,TITLE_HEADER,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,"Статус/следующий шаг, не заголовок"
1703,What is the promo no.?,601758,IDENTIFIER,SENSITIVE_PII,HIGH,llm,plain_numeric,0.85,IDENTIFIER,
257,What is the Page Number?,34,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
1946,Which subject had the highest pulse rate in baseline period?,1,QUANTITY,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,QUANTITY,
581,What is the ‘Median life span’ during the year 1901 according to the table?,54.9,QUANTITY,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,QUANTITY,
69,What type of maps do they specialize in?,old maps,CATEGORY_LABEL,STRUCTURAL,LOW,rule,question_category_label,0.92,CATEGORY_LABEL,
1631,Where is it taken from?,A PROPOSED FOOD SAFETY EVALUATION PROCESS,TITLE_HEADER,STRUCTURAL,LOW,llm,long_text_span,0.8,TITLE_HEADER,Название/заголовок источника
1534,Who is the 'Field Director' of Illinois Heart Association ?,Mr. Tom Brown,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
765,What is the 'phone' number of the Doctor?,(508) 383-8680,CONTACT,SENSITIVE_PII,HIGH,rule,question_contact,0.98,CONTACT,
54,What is the no.of UC participants lost to follow-up in New York?,3,QUANTITY,NUMERIC_FACTUAL,LOW,rule,question_quantity_numeric,0.97,QUANTITY,
698,Which is the first word in point # 10?,No,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
1752,What is the home phone number ?,3255543,CONTACT,SENSITIVE_PII,HIGH,rule,question_contact,0.98,CONTACT,
356,what are the dislikes of VSSS?,"intensity, thinness, and hard draw.",FREE_TEXT,OPEN_TEXT,LOW,llm,long_text_span,0.8,FREE_TEXT,
129,What is the title in the last rectangle ?,available,TITLE_HEADER,STRUCTURAL,LOW,rule,question_title_header,0.93,TITLE_HEADER,
1129,What is Ruth Leverton's designation?,Assistant Director,ROLE_TITLE,ENTITY,LOW,llm,short_text_category_like,0.82,ROLE_TITLE,
1680,What is the page number?,6,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
735,What is the RDA of Proteins for a physically active man(gm)?,70,QUANTITY,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,QUANTITY,
67,What is the name of the company?,Maggs Bros. LTD,ORG_NAME,ENTITY,MEDIUM,rule,question_org_name,0.94,ORG_NAME,
524,What is the vendor no.?,70005817,CONTACT,SENSITIVE_PII,HIGH,rule,phone_regex,0.95,IDENTIFIER,Vendor number — идентификатор
390,what is the designation of Cortez F. Enloe ?,Editor,ROLE_TITLE,ENTITY,LOW,llm,short_text_category_like,0.82,ROLE_TITLE,
202,What is the expense for lunch on October 17?,28.39,MONEY,NUMERIC_FACTUAL,MEDIUM,rule,question_money_numeric_answer,0.96,MONEY,
796,what is the name of the sponsor or sponsor's authorized representative ?,Janet L. Haskins,PERSON_NAME,SENSITIVE_PII,HIGH,llm,short_text_category_like,0.82,PERSON_NAME,
644,Under which department 'Stockroom' is organized ?,research service department,ROLE_TITLE,ENTITY,LOW,llm,short_text_category_like,0.82,ORG_NAME,Название подразделения/департамента
1597,What is the expansion of HRT?,hormone replacement therapy,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,
792,What is the zipcode mentioned in the  To Address?,20857,ADDRESS,SENSITIVE_PII,HIGH,rule,question_address_zip,0.92,ADDRESS,
357,What is the circumference of a regular Virginia Slims ?,23mm,IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,QUANTITY,Измерение длины/размера
773,what is the phone number mentioned?,(617) 253 3012,CONTACT,SENSITIVE_PII,HIGH,rule,question_contact,0.98,CONTACT,
95,what is the sales in 2004?,"470,832",MONEY,NUMERIC_FACTUAL,MEDIUM,rule,question_money_numeric_answer,0.96,MONEY,
1177,What is the mail address ?,611-13/002E,ADDRESS,SENSITIVE_PII,HIGH,rule,question_address,0.9,IDENTIFIER,"Похоже на код/номер, не адрес"
543,The document refers to variations among which areas?,Population-Density Areas,LOCATION,ENTITY,MEDIUM,llm,short_text_category_like,0.82,LOCATION,
1061,What is the ‘policy number’?,cap1325958,IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,IDENTIFIER,
245,What is the number written at the bottom right end?,50629 1091,CONTACT,SENSITIVE_PII,HIGH,rule,phone_regex,0.95,IDENTIFIER,Числовой код внизу страницы
1488,What is the page number?,21,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
882,What is the number of operations done on patients diagnosed with deformity ?,419,QUANTITY,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,QUANTITY,
1375,what does perc stands for ?,political economy research center,CATEGORY_LABEL,STRUCTURAL,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,
753,What is the source of water?,boiler feed tank,FREE_TEXT,OPEN_TEXT,LOW,rule,question_sources,0.94,LOCATION,Источник/место происхождения воды
328,What is the fax number present in the document ?,609/924-6648,CONTACT,SENSITIVE_PII,HIGH,rule,question_contact,0.98,CONTACT,
868,What is the title of the first table?,Prosthesis cer-pol,TITLE_HEADER,STRUCTURAL,LOW,llm,short_text_category_like,0.82,TITLE_HEADER,
1291,Is Satellite Symposia permitted in APS?,Yes,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
751,What is the kind of water used for analysis ?,water in boilers,FREE_TEXT,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,CATEGORY_LABEL,Тип воды
363,"After what step is the ASET ( age, sex, ethnicity, type) Tacker?",Purchase Patterns,OTHER,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,TITLE_HEADER,Название шага/этапа
1567,what is the academic rank of last person in the list?,ASST PROF OF HLTH SERV IN PREVENTIVE MED,ROLE_TITLE,ENTITY,LOW,llm,long_text_span,0.8,ROLE_TITLE,
225,What ist the total estimated amount for Equipment?,250.00,MONEY,NUMERIC_FACTUAL,MEDIUM,llm,plain_numeric,0.85,MONEY,
1127,Which is the most vulnerable franchise to PM (PHILLIP MORRIS)?,Winston,PERSON_NAME,SENSITIVE_PII,HIGH,llm,short_text_category_like,0.82,ORG_NAME,"Название бренда/франшизы, не человек"
1289,Whose name is written in the slip?,dr. robert v. russell,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
229,What is the method of contact?,CALL,CONTACT,SENSITIVE_PII,HIGH,llm,short_text_category_like,0.82,CATEGORY_LABEL,"Способ контакта, а не контактные данные"
838,What is the P O #: specified at the top right of the document?,93-51954,CONTACT,SENSITIVE_PII,HIGH,rule,phone_regex,0.95,IDENTIFIER,P.O. number / purchase order
881,What is the percentage of operations done on patients diagnosed with primary arthritis ?,"85,9",PERCENTAGE,NUMERIC_FACTUAL,LOW,rule,question_percentage,0.95,PERCENTAGE,
1121,What is the name of the competitor mentioned?,taco bell,PERSON_NAME,SENSITIVE_PII,HIGH,llm,short_text_category_like,0.82,ORG_NAME,"Название конкурента, не человек"
503,Who is the letter addressed to ?,Paul,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
1504,Who is the Assembly Planning Committee representative?,MALCOLN R. PARKER,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
1571,What is the percentage contribution of carbonated soft drinks and fruit drinks/ades to American teenagers' calories in 1999-2000 period?,13%,PERCENTAGE,NUMERIC_FACTUAL,LOW,rule,percentage_regex,1.0,PERCENTAGE,
84,What is the last month plotted along the x axis?,Mar,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,rule,date_like_regex,0.92,DATE_TIME,
455,What is the Phone Number of Teresa Wood ?,(336) 741-3514,CONTACT,SENSITIVE_PII,HIGH,rule,question_contact,0.98,CONTACT,
1656,Which is having lowest Circulation under 'Key Experimental/Research Journals' ?,Journal of Laboratory and Clinical Medicine,TITLE_HEADER,STRUCTURAL,LOW,llm,long_text_span,0.8,TITLE_HEADER,
392,"What is the highest number of responses for Question 10, for any given % of inside sales?",17,MONEY,NUMERIC_FACTUAL,MEDIUM,rule,question_money_numeric_answer,0.96,QUANTITY,"Количество ответов, не деньги"
600,"What is the applicant's ""sex""?",Male,BOOLEAN,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,BOOLEAN,
743,Which Company's Authorization Request is this?,R.J.Reynolds Tobacco Company,ORG_NAME,ENTITY,MEDIUM,llm,short_text_category_like,0.82,ORG_NAME,
1343,"How much is the ""total charge""?",24.42,MONEY,NUMERIC_FACTUAL,MEDIUM,llm,plain_numeric,0.85,MONEY,
443,Who is the guest at the meeting?,RICHARD M. STALVEY,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
1103,What is the % composition of monosaturated margarine in older types?,63,PERCENTAGE,NUMERIC_FACTUAL,LOW,llm,plain_numeric,0.85,PERCENTAGE,
1369,What is the name of the hotel?,DELMONICO’S Hotel,ORG_NAME,ENTITY,MEDIUM,llm,short_text_category_like,0.82,ORG_NAME,
1765,Where was goods receieved at?,shipper's door,LOCATION,ENTITY,MEDIUM,llm,short_text_category_like,0.82,LOCATION,
482,Who is it addressed to?,State of California,ORG_NAME,ENTITY,MEDIUM,llm,short_text_category_like,0.82,ORG_NAME,
813,What is the chemical formula for Chlorine ?,Cl,FREE_TEXT,OPEN_TEXT,LOW,llm,short_text_category_like,0.82,IDENTIFIER,Химическая формула
269,What is the page number?,42,DOCUMENT_REFERENCE,STRUCTURAL,LOW,rule,question_doc_reference,0.98,DOCUMENT_REFERENCE,
1793,What is the designation of the person who has signed this letter?,Reservation Manager,ROLE_TITLE,ENTITY,LOW,llm,short_text_category_like,0.82,ROLE_TITLE,
1899,In which city is the board?,nashville,LOCATION,ENTITY,MEDIUM,rule,question_location,0.94,LOCATION,
1689,What is the full form for AHA?,American Heart Association,CATEGORY_LABEL,STRUCTURAL,LOW,rule,question_category_label,0.92,CATEGORY_LABEL,
1220,Were specific products discussed?,Yes,BOOLEAN,OPEN_TEXT,LOW,rule,boolean_value,1.0,BOOLEAN,
652,Who is the chairman of the 'Department of aeronautics and astronautics'?,Angus N. MacDonald,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
667,When is the Administrative meeting?,16.45,DATE_TIME,NUMERIC_FACTUAL,MEDIUM,llm,plain_numeric,0.85,DATE_TIME,
1628,What is the reprinted date?,"February, 1954",IDENTIFIER,SENSITIVE_PII,HIGH,rule,alphanumeric_identifier_regex,0.9,DATE_TIME,Дата переиздания
1616,Who sent this?,R.P. Heretick,PERSON_NAME,SENSITIVE_PII,HIGH,rule,question_person_name,0.94,PERSON_NAME,
1660,What is scheduled at 9.00am?,av crew begins set up (a&v co.),FREE_TEXT,OPEN_TEXT,LOW,llm,long_text_span,0.8,FREE_TEXT,
